"","F0056","F0155","H0054","F0130","F0177","H0086"
"5a,6a-Epoxy-7E-megastigmene-3a,9e-diol 3-glucoside","11930","12281","11152","10407","12198","13647"
"Myrigalone E","11756","12057","11869","11038","12701","11960"
"Bluensidine 6-phosphate","10475","12951","11950","11329","11817","12617"
"2-Arachidonylglycerol","13138","11136","10915","11414","11401","12770"
"Benzaldehyde","11919","10939"," 9755","11063","12679","14384"
"Berberine","11799","11982","11395","10191","12310","12890"
"2-Methyl-2-cyclopenten-1-one","10979","11850","12229","11148","11301","12910"
"Ureidopropionic acid","10924","13347","10254","10242","12070","12778"
"Leukotriene B4","10451","12320","11622","10920","11358","12718"
"Vitamin A2 aldehyde","10853","10889","11385"," 9836","10914","15244"
"Dihydro-5-(2-octenyl)-2(3H)-furanone"," 9871","11709","12315","11770","11265","12181"
"Tocopheronic acid","10458","10932","11907","11668","11217","12895"
"Dimercaprol","10525","12362","12605","10901","11526","10930"
"2-Hydroxymyristic acid","10926","11792","12020","11175","10786","12040"
"Artabsinolide A","11049","11776","10682","11361","11498","12191"
"Tricosanoic acid","12615"," 9335","10001"," 8446"," 8762","19352"
"1-(2,4,6-Trimethoxyphenyl)-1,3-butanedione","11727","10885","10422","10636","12183","12572"
"Warfarin","10706","11485"," 9546","10913","11753","13451"
"(R)-Dihydromaleimide","10702","11385","12021","11614","11720","10036"
"Pentadecanal","11557","10536","10293","10369","12314","11616"
"Methyl propenyl ketone","10949","11263","10945"," 9971","10503","12899"
"Famotidine","10996","11179","11240","11749","12968"," 8041"
"beta-Damascenone","10095","10006","10593","10352","10043","15011"
"Versicolorin A"," 9795","11475","10506","10199","12221","11893"
"Cinnzeylanine","11463","11889","10944"," 9204","10539","11919"
"Lisuride"," 8864","12749"," 9728"," 9536","11026","13890"
"4-(3-Methyl-1-butenyl)-3,3',4',5-tetrahydroxystilbene","11483","10852","10293","10085","11377","11613"
"Xanthylic acid","11076","11730","10049"," 9175","11835","11705"
"Melibiose","11763","11133"," 8749","10419","10788","12544"
"Triacetin","10579","10471","10014"," 9972","11864","12429"
"8-iso-15-keto-PGE2","10229","10770","13743"," 9612","10117","10789"
"Limocitrin","11184","11091","10756"," 9700","11082","11126"
"3,3'-Dihydroxy-4',5,7-trimethoxyflavan","12239"," 9550","10660","10133","11572","10611"
"Dextrorphan O-glucuronide","10651","11955","10361"," 8274","10373","12890"
"Chondroitin","11848"," 9784"," 9812"," 9252","11629","11946"
"Coriandrone E","10435","10448"," 9586","10093","10996","12290"
"(S)-2,3-Dihydro-6-hydroxy-5-(hydroxyacetyl)-2-isopropenylbenzofuran","10909","10472"," 8882","10389","11105","11970"
"(+/-)-3-[(2-methyl-3-furyl)thio]-2-butanone","10021","12122"," 9313","10584","10732","10829"
"Thyrotropin releasing hormone","12572","10723"," 9038"," 9370","10129","11640"
"Polystyrene sulfonate"," 9452","11005","10173","10350","11038","11043"
"1-hydroxy-2-(beta-D-glucosyloxy)-9,10-anthraquinone","11830","12004"," 7030","13055"," 8182","10783"
"Taurine","11474","10378"," 9250","10831","10262","10562"
"Rhazidigenine Nb-oxide","10349","10525"," 9820","10182","10436","11366"
"Xenognosin A"," 9854"," 8891"," 9293","10859","10977","12740"
"Caffeoylmalic acid","11767","10547","10705","11756"," 7373","10461"
"O-Desmethylangolensin","10685","10529"," 8120","10155","11410","11658"
"Gamma-CEHC","10156","10820"," 9116","10293","10795","11349"
"3'-O-methyl-(-)-epicatechin","10525","10877","10202"," 9765","10612","10467"
"2-Methoxyestradiol-3-methylether"," 9742","11747"," 9424","10110","10316","10988"
"4-Hydroxyvalsartan","11192","10477"," 9688"," 9389","10291","11237"
"2,2,4,4-Tetramethyl-6-(1-oxobutyl)-1,3,5-cyclohexanetrione"," 9895"," 9931"," 9647"," 9632","11052","12106"
"Salicin","10087","10002"," 9114"," 9923","10023","13101"
"Iminoaspartic acid","13164"," 9676","10562","10087"," 8709"," 9880"
"Diaminopimelic acid","10393","11647"," 8773"," 9596","11463"," 9957"
"Marmesin","10600","10972"," 9253"," 9654"," 9258","11975"
"Dillapional","10332","10248"," 9752"," 9119","11049","11073"
"2-Hydroxybutyric acid"," 9654","10388"," 9988","10422","10258","10494"
"BR-Xanthone B","10246","10496"," 9495"," 9361","10031","11518"
"Chenodeoxycholic acid sulfate"," 9516","11450"," 9757"," 8682"," 9990","11716"
"Tanacetol B"," 9169","10290","10231","10489"," 9212","11712"
"2-Hydroxyadipic acid","11808"," 9432"," 9191"," 9800","10115","10717"
"Divanillyltetrahydrofuran ferulate","11498"," 9121","10219"," 9285","10198","10716"
"1-(3,4-Dimethoxyphenyl)-1,2-ethanediol 1-O-b-D-glucoside"," 9796","10213","10102"," 8875","10007","11581"
"2-Methylfuran","10261","10147","11667"," 9145"," 9507"," 9433"
"Pyrazinamide"," 9621"," 9256"," 9312","10799"," 9880","10867"
"2'-Deoxyinosine triphosphate"," 9335"," 9923","14130"," 6973"," 7813","11553"
"Sulcatone"," 8785","10057"," 9187","10903","10116","10445"
"3-Mercaptolactic acid"," 9585"," 9170","11048"," 9391"," 9890","10105"
"3,4-Dimethyl-5-pentyl-2-furanundecanoic acid","11326"," 9218"," 8431","10076"," 8924","11093"
"3-Hydroxydodecanoic acid"," 9680"," 9912"," 9699"," 9591"," 9303","10780"
"Cyclic GMP"," 8278","10865"," 8265"," 8707","10706","11961"
"4-Hydroxynonenal"," 9494"," 9968"," 9065"," 8928","10103","11193"
"Ascorbic acid","13410"," 9055"," 7640","10437"," 8779"," 9353"
"N-(3-oxo-hexanoyl)-homoserine lactone"," 9389"," 9102"," 9578"," 9803","10352","10364"
"3-Hydroxysuberic acid"," 9988"," 9697"," 8609","10152"," 9169","10940"
"N-Decanoylglycine"," 9088"," 9799","10215","10165"," 9185"," 9970"
"Dihydrodaidzein","10661"," 9291"," 8897"," 8210"," 9821","11435"
"L-Phenylalanine"," 9853","10178"," 8020","10133"," 9233","10692"
"Uracil","10103","10668"," 8696","10188"," 9667"," 8783"
"Raltitrexed"," 9785","10272"," 9811"," 9278"," 9635"," 9241"
"5-Hydroxymethyl-2-furancarboxaldehyde"," 8555"," 9683"," 9496","10124"," 9558","10491"
"5-Dodecenoic acid","10295"," 9460"," 9563"," 8943"," 8963","10357"
"3-O-Methylcoumestrol"," 9518"," 9183","10280"," 9322"," 9446"," 9827"
"Tetrahydrodeoxycorticosterone"," 7944"," 8273"," 8871"," 7781"," 8809","15816"
"Deoxyloganin"," 7945"," 9730"," 9175","10299"," 9591","10705"
"L-Lysine","11589"," 9511"," 8969"," 8673"," 8150","10484"
"9,12,13-TriHOME","10143"," 9376"," 9365"," 9934"," 9299"," 9193"
"2,3-Dihydroxyvaleric acid","10726","10328"," 7559","10178"," 9096"," 8818"
"Eplerenone"," 8856"," 9531"," 9792"," 8838"," 9166","10432"
"4-Pyridoxolactone","9791","9203","9905","8687","8949","9940"
"Progesterone"," 8928"," 8959"," 8728"," 9767","10221"," 9667"
"2-Phosphoglyceric acid","10593"," 9447","10808"," 8573"," 8748"," 7938"
"3,7,11,15,23-Pentaoxolanost-8-en-26-oic acid"," 8529"," 9397"," 9106"," 8785"," 9241","10806"
"1,1'-(Tetrahydro-6a-hydroxy-2,3a,5-trimethylfuro[2,3-d]-1,3-dioxole-2,5-diyl)bis-ethanone"," 8449"," 8788"," 9567"," 8743"," 8936","10802"
"Cucurbitacin P","9380","9078","9032","9032","8825","9927"
"3 Hydroxycoumarin"," 9844","10219"," 8932"," 9157"," 8246"," 8859"
"Ibuprofen"," 8220"," 9580"," 8975"," 8271","10451"," 9692"
"11,12-Dimethoxydihydrokawain","9221","8945","8208","9043","9633","9948"
"Nonadeca-10(Z)-enoic acid"," 9581"," 7559"," 8732"," 8996"," 8868","11241"
"AICAR"," 8108"," 8840"," 7764"," 9410","10031","10268"
"all-trans-Carophyll yellow"," 9518","10874"," 6060","12764"," 7292"," 7871"
"2-Methyl-1-methylthio-2-butene"," 8214"," 9921"," 8516"," 7496"," 9383","10822"
"Withaperuvin D","9719","9089","8522","8065","9163","9691"
"6-Deoxohomodolichosterone","10291","10118"," 8036"," 7760"," 8255"," 9631"
"Methyl 3-(2,3-dihydroxy-3-methylbutyl)-4-hydroxybenzoate"," 8805"," 7601"," 9203"," 8189"," 8183","11674"
"L-Cystathionine","9912","9367","7764","8812","8240","9517"
"Gibberellin A59","9665","8199","8841","8730","9211","8841"
"Adenosine monophosphate","10617","12783"," 7519"," 7548"," 7753"," 6956"
"1-Hydroxyepiacorone","7852","8553","9356","8314","9320","9775"
"Corchorifatty acid F","9348","7886","8865","8638","8426","9835"
"Glycerol 1-propanoate diacetate","8792","9385","8011","7706","9040","9933"
"2(3H)-Benzothiazolethione","8326","8282","8200","9201","9096","9046"
"Erucic acid"," 8660"," 7812"," 6802"," 8045"," 7997","12803"
"Quinolinic acid","9351","8506","8791","7374","8803","8770"
"2-Phosphinomethylmalate","9699","7961","7863","7353","9174","9117"
"S-2-Octenoyl CoA","9344","8503","8900","6998","8552","8619"
"4-Hydroxy-2-butenoic acid gamma-lactone","8412","8358","8421","8351","8821","8437"
"Coumarin-4-carboxylic acid","8569","8864","8845","8442","7676","8391"
"Orotic acid"," 8002","10118"," 7024"," 9529"," 8697"," 7367"
"Naringenin","8645","8234","7712","8826","8508","8811"
"MG(0:0/20:1(11Z)/0:0)","8868","8295","8150","7701","7725","9674"
"Celerin","7353","8513","8040","8637","8076","9586"
"4-Methyl-1-phenyl-2-pentanone","8954","8433","8026","7930","7674","9127"
"2-Hydroxyacetaminophen sulfate","5495","9097","9736","8208","8783","8691"
"D-Urobilin","8679","7479","8557","7372","8182","9687"
"Acetaminophen","8666","8894","7648","8214","7753","8516"
"3''-Hydroxy-geranylhydroquinone","8812","7805","7849","7834","9004","8114"
"Androsterone","7971","8363","8384","7832","8459","8360"
"D-Lombricine","7877","7345","7352","8034","9641","9108"
"2,3-Epoxyaflatoxin B1","6853","8646","7285","9077","8626","8806"
"Dihydro-O-methylsterigmatocystin","7775","8081","7817","7458","8990","9169"
"N-Acetyl-L-tyrosine","9192","7927","8100","7118","8640","8171"
"Riboflavin cyclic-4',5'-phosphate","7778","8376","8310","8202","8377","8104"
"3-keto-2-Methylbutyrate","7229","8220","7738","8568","7759","9486"
"3-Caffeoyl-1,5-quinolactone","7823","9059","7568","8609","8369","7447"
"Hydroxyprolyl-Isoleucine","8440","8169","7517","7253","8774","8714"
"2-Isopropylmalic acid","9510","7481","8223","7286","7421","8815"
"Diethylhexyl adipate","7965","9012","7768","7585","7614","8730"
"Galactaric acid","7706","8496","7150","7302","8561","9345"
"Luteolin","7480","7504","8445","7706","7720","9561"
"Eupatilin","8144","7505","7677","7739","9231","7863"
"5,4'-Dihydroxy-3,3'-dimethoxy-6:7-methylenedioxyflavone","7292","7936","8127","7720","7828","9191"
"1H-Indole-3-carboxaldehyde","7619","8424","7041","8008","8302","8272"
"N-Ethylacetamide","8407","9047","6968","8404","7259","7369"
"Lubiminol","7791","8204","8502","6499","7408","9021"
"Guanosine triphosphate","8784","7695","7693","7390","7322","8224"
"Dolichosterone","8593","7886","7608","7213","7616","8038"
"Shoyuflavone B","6998","9121","7250","7637","7696","8175"
"dUDP"," 7398","10173"," 6931"," 6821"," 7219"," 7990"
"9-Octadecenal","7858","8007","7250","6288","7617","9356"
"Vitamin K1 2,3-epoxide","7221","7858","8774","6310","7052","9125"
"Isopulegone caffeate","7525","6711","7791","7361","8908","8014"
"Soyasapogenol A","7620","9146","6715","5466","7211","9782"
"2-Methoxyestrone","7323","7976","7151","7559","7739","8122"
"Prostaglandin E2"," 7177"," 8002"," 6719"," 6404"," 6262","11182"
"Octacosanoic acid","7767","7238","7904","6406","7588","8810"
"Fructose 6-phosphate","8378","7742","9626","6662","6563","6619"
"19,20-DiHDPA","9174","7449","7226","6751","6798","8183"
"Lisinopril","8686","7737","7544","5877","7429","8250"
"7(14)-Bisabolene-2,3,10,11-tetrol","7323","6986","7392","7214","6670","9743"
"Galactosylglycerol","8621","6634","6278","7984","7698","8088"
"Palmitic amide"," 6969"," 5346"," 7846"," 6324"," 6970","11755"
"11-Hydroxy-12-methoxydihydrokawain","7427","6891","7177","7182","8012","8301"
"3-Fumarylpyruvate","8889","7394","6932","8252","7203","6300"
"3-Hydroxyanthranilic acid","7475","7401","7051","8579","7671","6782"
"Neryl glucoside","7586","7073","7050","6884","7704","8541"
"2,5-Dimethyl-3-propylpyrazine","7101","7661","6965","6748","7712","8616"
"Ginkgolide J"," 5991"," 9084"," 5958"," 5915"," 7791","10048"
"5,6-Dihydro-4-methoxy-6-[2-(4-methoxyphenyl)ethyl]-2H-pyran-2-one","7484","7784","7758","7041","7427","7235"
"1-Isopropyl citrate","8346","7851","5575","6580","8124","8225"
"Benazepril","7025","7968","7515","6592","7443","8045"
"MG(0:0/24:1(15Z)/0:0)","11523"," 6557"," 5408"," 6153"," 6493"," 8436"
"Armillane","7045","7828","6848","7212","7350","8206"
"Coumarin","6944","6975","7643","6879","8234","7763"
"Demethylated antipyrine","7451","8004","7082","6497","6803","8438"
"Lupinate","7305","7057","7139","6605","7086","9049"
"p-Coumaroyl vitisin A","6174","8317","7624","7793","7459","6790"
"Cubebinone","7037","8189","7556","6141","6132","9050"
"Cerebronic acid","10043"," 6128"," 6506"," 6558"," 6621"," 8105"
"(Z)-4-Heptenal","6114","7301","7447","7901","7646","7459"
"1-Pyrenylsulfate","6772","6770","8887","6769","7341","7296"
"Ascochitine","6965","8536","6985","6525","7013","7775"
"L-Tyrosine","8028","6778","5710","7689","6096","9438"
"Vindoline","7247","7797","7050","6670","7009","7930"
"3-(1,1-Dimethyl-2-propenyl)-7,8-dimethoxy-2H-1-benzopyran-2-one","7140","7368","6860","6857","7334","8111"
"PE(14:0/20:2(11Z,14Z))","8881","6602","6299","6424","7130","8320"
"Dihydrosterigmatocystin","6347","7733","6752","7537","7438","7819"
"1-Methoxyphaseollidin","6693","7067","8058","6877","7543","7337"
"Oleamide","7672","5996","7170","6423","7288","9015"
"2-(4-Methyl-5-thiazolyl)ethyl propionate"," 3344"," 5331"," 4312"," 9259"," 4444","16868"
"Glycerol tripropanoate","6759","6784","6726","7027","7797","8337"
"Aflatoxin B1 dialcohol","9447","6356","6089","6110","7516","7793"
"Citric acid","7218","8027","6497","8305","6031","7225"
"Labetalol","5257","7523","5920","9919","6500","8159"
"Gravolenic acid","6632","7246","6929","6732","7416","8304"
"Resveratrol 4'-(6-galloylglucoside)","7799","6914","6853","6744","7329","7487"
"Butyl (S)-3-hydroxybutyrate glucoside","7148","6705","7248","6552","7385","8018"
"Heptacosanoic acid"," 6430"," 6330"," 6670"," 5707"," 5744","12097"
"Antibiotic X 14889C","7236","7413","7014","6722","6703","7867"
"Isomammein","6440","7512","7178","7277","6778","7766"
"Perulactone","8734","6957","6179","6699","6423","7889"
"Gluconolactone","7377","7161","7324","7557","5984","7332"
"Eugenyl benzoate","5332","8936","8339","5762","5445","8918"
"Austalide G","7782","7007","7080","6602","7333","6928"
"5-Hydroxylysine","6111","7057","6083","6370","8428","8662"
"12-Oxo-20-carboxy-leukotriene B4","6755","6927","7579","6012","8581","6839"
"3-Feruloyl-1,5-quinolactone","7057","6818","6691","6172","7623","8243"
"alpha,alpha'-diethyl-4,4'-bis(2-propynyloxy)stilbene","7136","7469","6617","6953","7601","6817"
"1-Acetoxy-2-hydroxy-16-heptadecen-4-one"," 5882"," 6460"," 5619"," 7957"," 6126","10537"
"alpha-(1,2-Dihydroxyethyl)-1,2,3,4-tetrahydro-7-hydroxy-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-acetaldehyde","8000","6926","7171","6470","6925","7013"
"(R)-2-Hydroxysterculic acid","7341","6929","7300","6736","6587","7608"
"10-Hydroxymyristic acid methyl ester","7087","6883","6262","6863","6485","8782"
"3-Hydroxynonyl acetate","7582","6814","6345","7695","6583","7313"
"Dichloromaleimide","6980","7845","6780","5939","7026","7713"
"Taraxacolide 1-O-b-D-glucopyranoside","6614","8024","6984","5311","7373","7828"
"(10S)-Juvenile hormone III acid diol","6114","6499","7440","6641","6615","8732"
"2'-Oxoaloesol 7-glucoside","7117","6416","5981","7263","7915","7317"
"D-Urobilinogen","9550","6175","5834","6401","6650","7394"
"1-Isothiocyanato-6-(methylthio)hexane"," 8234"," 5445","10352"," 5920"," 5850"," 5978"
"SR 49498","6651","7175","6465","6328","6721","8394"
"6,7-Dimethoxy-7-epirosmanol","7226","6926","6417","6545","7417","7039"
"Thymine","6794","7833","6096","7292","6714","6801"
"Indole-3-carbinol","7253","6885","7499","5845","6339","7554"
"Prenyl glucoside","7814","6379","6040","6101","7421","7350"
"Hexanoylglycine","6648","7419","6563","6950","5967","7554"
"Deoxycytidine","6434","7105","6915","5909","7551","7113"
"Methyl 2E,4Z-hexadecadienoate","7049","7465","6342","5474","6840","7800"
"Arginyl-Phenylalanine","7518","6772","6611","6447","7153","6406"
"Propionic acid","7217","7178","6552","6254","6464","7207"
"8-8'-Dehydrodiferulic acid","6994","8521","6124","6033","5637","7486"
"(2R,3S)-Piscidic acid","6890","6377","6339","6770","6302","7931"
"MG(0:0/22:1(13Z)/0:0)","7878","6328","5930","6432","6106","7893"
"2,5-Dihydroxypyridine","8527","6201","7017","6509","6134","5993"
"N2-Succinyl-L-ornithine","6821","7134","5465","6608","7549","6697"
"3-Hydroxy-4-butanolide"," 5522"," 4470","16042"," 3844"," 5138"," 5211"
"3-Methylpyrrolo[1,2-a]pyrazine","7502","7313","6112","6191","6124","6798"
"5'-O-Desmethyl omeprazole","6890","6397","7336","5932","7291","6139"
"L-Ascorbate 6-phosphate","6826","6133","7595","5768","5843","7805"
"Aldosterone","6306","6893","6990","6678","6363","6637"
"Arbutin","7127","6611","5667","6148","6613","7574"
"Starch acetate","6681","5771","6134","6738","6925","7425"
"Dulciol C","6120","6514","6516","6538","6456","7414"
"dCMP","5823","7490","6714","5400","6616","7475"
"13,14-Dihydro PGF-1a","5848","7122","5652","6192","7453","7228"
"Xanthosine","6726","6371","6757","6391","6318","6697"
"Calonectrin","6850","6530","5773","6084","6594","7326"
"6-Phosphonoglucono-D-lactone","6695","6396","6519","6006","5589","7894"
"Eleutheroside B1","6979","6458","5851","6528","6552","6681"
"Sphingosine","6725","6508","5891","6124","6277","7471"
"D-Lombricine.1","6659","6106","5509","6922","6514","7279"
"Tetrahydrocorticosterone","5628","6209","5461","6960","7398","7213"
"Prostaglandin F1a","5983","6900","6350","6176","5973","7420"
"4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoic acid","7316","6355","6152","5924","6393","6642"
"Faropenem","6457","6203","5405","7487","7111","6030"
"Oleanolic acid","10887"," 5691"," 4598"," 4657"," 5858"," 6968"
"Ergosta-5,7,22,24(28)-tetraen-3beta-ol"," 5656"," 5234"," 5177"," 5039"," 5160","12248"
"13-hydroxy-docosanoic acid","6441","6723","6837","6365","5768","6301"
"3-Hydroxydodecanedioic acid","6761","5662","6395","5871","6566","7167"
"Fortimicin A","6241","7339","5936","5580","6335","6907"
"N-Acetylanonaine","5112","6264","6857","5406","7636","6982"
"1-Octen-3-yl glucoside","6422","6667","6157","5395","6399","7156"
"Epigallocatechin gallate","5602","6458","6394","7116","6503","5980"
"Avocadene","6298","5953","5918","6162","5862","7705"
"Trigonelline","5218","6322","5857","7319","6558","6619"
"Guggulsterone","5445","6072","6445","7264","5575","7012"
"Sulfolithocholic acid","6366","5973","6420","5997","5822","7206"
"Terretonin","5793","6102","5928","6625","6839","6462"
"Caffeoylmalic acid.1","5933","5605","6427","6201","6071","7511"
"Edultin","5360","6920","6223","5441","6809","6914"
"Oxoadipic acid","6042","6886","5661","6529","5951","6591"
"(3Z,6Z)-3,6-Nonadien-1-ol","5647","5891","6000","6380","6345","7335"
"Alfuzosin","6267","6555","6013","5618","6201","6900"
"2,6-Di-tert-butylbenzoquinone","5823","5932","6146","5878","6671","7100"
"Ubiquinone-2","6320","6623","6243","5526","6081","6583"
"10-Undecenyl acetate","6288","6115","6063","6197","5469","7135"
"Mesobilirubinogen","11041"," 4749"," 4935"," 4945"," 6106"," 5388"
"1,2,4,5-Tetrathiane"," 3880"," 8017"," 3832","10811"," 6716"," 3827"
"3-(2-Methylpropanoyloxy)-8-(2-methylbutanoyloxy)-9,10-epoxy-p-mentha-1,3,5-triene","6890","6028","5892","5961","5970","6318"
"Phytosphingosine-1-P"," 4986"," 5390"," 5093"," 5137"," 5271","11076"
"Quinaldic acid","5682","6303","5864","6014","6682","6392"
"Cytidine 2',3'-cyclic phosphate","6185","5855","6174","5840","6535","6336"
"1b-Hydroxycholic acid","7156","5694","5790","5840","5614","6828"
"Gibberellin A60","6787","6071","6186","5470","5702","6618"
"Parvisoflavone A","6215","6240","5609","5565","5878","7304"
"Prazosin","5903","6073","5957","5790","6446","6610"
"1,5-Dihydroxy-3-methoxy-2-prenylxanthone","5801","6618","5492","6768","5943","6008"
"Tyramine","6879","5702","5403","5786","6214","6580"
"(4R,5S,7R,11x)-11,12-Dihydroxy-1(10)-spirovetiven-2-one 12-glucoside","5306","7119","5748","5142","6139","6919"
"LysoPE(0:0/22:4(7Z,10Z,13Z,16Z))","6157","5936","6027","5686","5864","6651"
"Amoxicillin","6240","5915","5519","5867","6674","6096"
"Cilastatin","7534","6397","5201","4826","6231","6080"
"L-Proline","6564","5741","4613","7003","4676","7641"
"12,14-Octacosanedione","6057","5747","5652","5428","5569","7748"
"L-Kynurenine","6091","6147","5140","5849","6300","6574"
"CDP-Ethanolamine","5852","5990","6219","6409","6064","5474"
"Muramic acid","6904","5899","5696","6041","5969","5495"
"L-Glutamic acid","9007","4638","4856","6642","5477","5352"
"Retinoyl b-glucuronide","6072","6555","6052","5564","5658","6010"
"Carnosic acid","6778","5729","5631","6071","5461","6158"
"Riboflavin","5696","6268","5794","5836","5793","6429"
"Paracetamol sulfate","5946","6147","6203","4948","6694","5875"
"L-Threoneopterin"," 6059"," 9671"," 3477","10112"," 4488"," 1998"
"2-Oxo-6-methylthiohexanoic acid","5675","5929","5839","6241","5789","6278"
"4-Amino-2,6-dinitrotoluene","6307","6210","5307","5810","6399","5712"
"Triethyl citrate","6746","5723","5313","5602","5984","6373"
"Gibberellin A113","5672","5358","5492","5643","6501","7058"
"de-Hypoxanthine futalosine","5665","6413","5057","6115","6475","5946"
"Phosphoenolpyruvic acid","6555","6378","5914","5989","5741","5043"
"Cappariloside A","6231","6156","5282","5820","5849","6248"
"Guanosine monophosphate","5907","7396","5401","5574","5450","5840"
"Methyl-[10]-shogaol","5917","5928","5142","5425","5732","7384"
"(+/-)-Furilazole","3981","4425","7474","3951","7658","8007"
"1-Phenyl-1,3-heptadecanedione","6465","6180","5625","5583","6093","5504"
"Epicatechin-(2beta->7,4beta->6)-catechin","5652","5685","5749","6342","6632","5356"
"Tangeritin","6413","5809","5288","5960","6521","5415"
"Polyoxyethylene (600) monoricinoleate","4912","4637","5253","5198","5423","9964"
"15-Acetyl-4-deoxynivalenol","5121","5875","5631","5436","6021","7297"
"6-Galloylglucose","5908","6114","6129","5288","5946","5944"
"10-Hydroxy-16-hentriacontanone","5547","5534","5347","5034","5652","8211"
"xi-3-Hydroxy-5-phenylpentanoic acid O-beta-D-Glucopyranoside","5859","6265","4892","5410","5849","7023"
"L-Isoleucine","7224","4948","3344","6936","4622","8176"
"3b-Hydroxy-5-cholenoic acid","10660"," 4744"," 4710"," 4069"," 5298"," 5703"
"Propantheline","6639","5955","5961","5112","4726","6790"
"2-Hexenoylcarnitine","5707","5594","5124","5825","5949","6872"
"(-)-Wikstromol","5947","5769","5212","6392","5455","6242"
"2,2,7,7-Tetramethyl-1,6-dioxaspiro[4.4]non-3-ene","6219","5918","5144","5514","5922","6298"
"Valsartan","5657","6607","5757","4848","5912","6233"
"Daidzein","5523","7018","5057","5674","5595","5965"
"(+)-Zeylenol","6170","5443","5354","5791","5801","6161"
"Palmitoleoyl Ethanolamide","5974","4298","6374","5263","5166","7617"
"6-Hydroxypentadecanedioic acid","5528","5392","5293","5157","5988","7102"
"7-(4-Hydroxyphenyl)-1-phenyl-4-hepten-3-one","6346","5613","5549","5154","5883","5837"
"(R)-Marmin","5851","5527","5628","5548","5752","6062"
"dTDP-D-glucose","6266","5536","5318","5287","6388","5515"
"13'-Hydroxy-alpha-tocopherol","6006","6545","5392","5049","5736","5573"
"S-(Hydroxyphenylacetothiohydroximoyl)-L-cysteine","5314","5746","5260","5544","6140","6286"
"Kukoamine A","5537","5573","5578","5394","5859","6306"
"Linoleamide","5137","6103","5763","5379","5526","6335"
"PC(15:0/16:1(9Z))","6573","5618","5953","4904","5287","5849"
"Bergaptol","5636","5231","6060","5127","5669","6452"
"7-Methylguanine","5617","6051","5735","5284","5727","5688"
"MG(0:0/18:1(11Z)/0:0)","5426","5929","5130","4905","5507","7180"
"5-(2,3-Dihydroxy-3-methylbutyl)-4-(3,4-epoxy-4-methylpentanoyl)-3,4-dihydroxy-2-isopentanoyl-2-cyclopenten-1-one","5541","5704","5254","4984","5596","6986"
"3b,15b,17a-Trihydroxy-pregnenone","5832","6067","5758","5341","5476","5566"
"Gibberellin A105","5067","6000","6257","5451","5979","5176"
"Simulansamide","5868","5448","5373","5573","5871","5740"
"DG(15:0/20:4(5Z,8Z,11Z,14Z)/0:0)","6155","5416","5237","5383","5796","5794"
"3,5-Dimethoxy-2,7-phenanthrenediol","5820","5727","5646","4657","5940","5930"
"Cinncassiol D2 glucoside","5667","6050","5402","5049","5140","6386"
"Irbesartan","5254","7955","5132","4457","4639","6168"
"Nicotinic acid","5448","6763","5647","5168","5041","5484"
"Carnosol","5534","6167","5950","4943","5339","5582"
"L-Homocysteic acid","5658","4878","5736","5412","6669","5152"
"(Z)-9-Cycloheptadecen-1-one","5347","5336","5417","5282","5755","6367"
"Lidocaine","4935","4810","5300","5751","5648","7053"
"Isoleucyl-Valine","6257","5364","5676","5023","5422","5667"
"7Z,10Z-Hexadecadienoic acid","6288","5533","5524","5584","4935","5449"
"8,8a-Deoxyoleandolide","5320","5512","5520","5063","4684","6927"
"5-[(4-Hydroxypheny)ethenyl]-2-(3-methyl-1-butenyl)-1,3-benzenediol","5549","5081","5523","5981","4953","5907"
"2-Amino-3-carboxymuconic acid semialdehyde"," 3905"," 7284"," 3454"," 3901","10729"," 3700"
"1-Acylglycerophosphoinositol","5344","5697","4940","5282","5801","5883"
"Inosine","5876","5884","5932","4653","4845","5728"
"Varanic acid","6101","4450","4438","4021","5021","8886"
"Gyrocyanin","5512","6191","5372","5273","4861","5610"
"Voacamine","11949"," 4214"," 3952"," 3975"," 4087"," 4597"
"Rebaudioside E","5641","6063","5271","4796","5139","5824"
"Ornithine","7316","5682","3966","4711","4301","6723"
"beta-Citraurol","5477","5328","4992","5788","5316","5681"
"Endomorphin-2","5683","5444","5013","5306","5158","5962"
"22-Oxodocosanoate","5309","5585","4674","4920","4372","7656"
"Felbamate","5001","5550","5240","5917","5719","5056"
"Cinnamyl cinnamate","5717","5492","4889","4602","5233","6469"
"Octaethylene glycol","5659","4836","4539","5218","4727","7409"
"5-Hydroxy-3,3',4',7,8-pentamethoxyflavone","5440","5549","5140","5168","5837","5121"
"Brevifolincarboxylic acid 9-sulfate","5250","5699","5822","5010","5081","5381"
"5-Hydroxytryptophol glucuronide","4610","5284","4437","5477","5463","6661"
"5-Formiminotetrahydrofolic acid","4734","5486","5823","4562","5518","5758"
"Glutathionylaminopropylcadaverine","5202","5699","5461","4795","5086","5636"
"Brevianamide F","4952","5268","5108","5091","4933","6503"
"Dihydrodioscorine","6028","4998","4720","5258","4983","5724"
"Ecdysone","5824","5273","4916","4855","4955","5864"
"N-Nonanoylglycine","4224","5856","4394","5938","5000","6224"
