Query,Match,HMDB,PubChem,KEGG,SMILES,Comment,Pathway
1-Acyl-sn-glycero-3-phosphoglycerol,1-Acyl-sn-glycero-3-phosphoglycerol,MA3TEM036,96024343,C18126,CC1=C(C=C2[C@H](NCCC2=C1)C3=C(N=CC=C3)F)C,1,
16-Hydroxy hexadecanoic acid,16-Hydroxy hexadecanoic acid,HMDB0006294,7058075,C18218,C(CCCCCCCC(=O)[O-])CCCCCCCO,1,
cis-4-Decenoic acid,cis-4-Decenoic acid,HMDB0004980,5312351,NA,CCCCC/C=C\CCC(=O)O,1,
"1,3-Diacetylpropane","1,3-Diacetylpropane",HMDB0029165,100532,NA,CC(=O)CCCC(=O)C,1,
Carnosine,Carnosine,HMDB0000033,439224,C00386,C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCN,1,
Undecanoic acid,Undecanoic acid,HMDB0000947,8180,C17715,CCCCCCCCCCC(=O)O,1,
Butyric acid,Butyric acid,HMDB0000039,264,C00246,CCCC(=O)O,1,
Kurarinone,Kurarinone,NA,11982640,C17446,C=C(C)(CC=C(C)C)Cc1c(O)cc(OC)c2c1O(c1ccc(O)cc1O)CC2=O,1,
Octadecanedioic acid,Octadecanedioic acid,HMDB0000782,70095,NA,C(CCCCCCCCC(=O)O)CCCCCCCC(=O)O,1,
Suberic acid,Suberic acid,HMDB0000893,10457,C08278,C(CCCC(=O)O)CCC(=O)O,1,
Norambreinolide,Norambreinolide,HMDB0035293,61129,NA,CC1(CCCC2(C1CCC3(C2CC(=O)O3)C)C)C,1,
Inosinic acid,Inosinic acid,HMDB0000175,8582,C00130,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,1,
Annuionone B,Annuionone B,HMDB0032121,101417753,NA,CC(=O)\C=C\C1C2(C)COC1(C)CC(=O)C2,1,
7-Methylguanosine 5'-phosphate,7-Methylguanosine 5'-phosphate,HMDB0059612,440190,C03998,C[N+]1=CN([C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C2=C1C(O)=NC(=N)N2,1,
(R)-2-Benzylsuccinate,(R)-2-Benzylsuccinate,HMDB0012127,446168,C09816,C1=CC=C(C=C1)C[C@@H](CC(=O)O)C(=O)O,1,
Malonic acid,Malonic acid,HMDB0000691,867,C04025,C(C(=O)O)C(=O)O,1,
"4-Hydroxy-8-methoxy-2H-furo[2,3-h]-1-benzopyran-2-one","4-Hydroxy-8-methoxy-2H-furo[2,3-h]-1-benzopyran-2-one",HMDB0032659,85748760,NA,COC1=CC2=C(O1)C=CC1=C2OC(=O)C=C1O,1,
2-Methyl-3-ketovaleric acid,2-Methyl-3-ketovaleric acid,HMDB0000408,189028,NA,CCC(=O)C(C)C(=O)O,1,
12-Hydroxynevirapine,12-Hydroxynevirapine,HMDB0013911,453338,NA,C1CC1N2C3=C(C=CC=N3)C(=O)NC4=C(C=CN=C42)CO,1,
(E)-2-Butenal,(E)-2-Butenal,HMDB0034233,643950,C19377,C/C=C\C=O,1,
"3-Methoxy-4,5-methylenedioxybenzoic acid","3-Methoxy-4,5-methylenedioxybenzoic acid",HMDB0030800,607309,NA,COC1=CC(=CC2=C1OCO2)C(=O)O,1,
3-Oxopimelyl-CoA,3-Oxopimelyl-CoA,HMDB0012158,9543029,C06715,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCCC(=O)O)O,1,
Succinylacetone,Succinylacetone,HMDB0000635,5312,NA,CC(=O)CC(=O)CCC(=O)O,1,
Heptanoic acid,Heptanoic acid,HMDB0000666,8094,C17714,CCCCCCC(=O)O,1,
Liqcoumarin,Liqcoumarin,HMDB0029518,11378967,NA,CC1=CC(=O)OC2=C1C(=C(C=C2)C(=O)C)O,1,
Formiminoglutamic acid,Formiminoglutamic acid,HMDB0000854,439233,C00439,C(CC(=O)O)[C@@H](C(=O)O)N=CN,1,
2-Methyl-1-propanethiol,2-Methyl-1-propanethiol,HMDB0031245,10558,NA,CC(C)CS,1,
dUMP,dUMP,HMDB0001409,65063,C00365,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)O)O,1,
Salicylate-sodium,Salicylate-sodium,HMDB0015470,16760658,C07587,C1=CC=C(C(=C1)C(=O)[O-])O.[Na+],1,
Cinnamic acid,Cinnamic acid,HMDB0000567,5372954,C10438,C1=CC=C(C=C1)/C=C\C(=O)O,1,
13-L-Hydroperoxylinoleic acid,13-L-Hydroperoxylinoleic acid,HMDB0003871,6437847,C04717,CCCCC[C@@H](/C=C/C=C\CCCCCCCC(=O)O)OO,1,
Sulfoxone,Sulfoxone,HMDB0015276,5351,NA,C1=CC(=CC=C1NCS(=O)O)S(=O)(=O)C2=CC=C(C=C2)NCS(=O)O,1,
Jasmonic acid,Jasmonic acid,HMDB0032797,5281166,C08491,CC/C=C\C[C@@H]1[C@H](CCC1=O)CC(=O)O,1,
"2,4-Hexadienyl acetate","2,4-Hexadienyl acetate",HMDB0032311,5363491,NA,C/C=C/C=C/COC(=O)C,1,
"7-a,25-Dihydroxycholesterol","7-a,25-Dihydroxycholesterol",HMDB0006280,11954197,C16678,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C=C4[C@@]3(CC[C@@H](C4)O)C)O)C,1,
All-trans-retinoic acid,All-trans-retinoic acid,HMDB0001852,444795,C00777,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,1,
L-Lactic acid,L-Lactic acid,HMDB0000190,61503,C00186,C[C@@H](C(=O)O)O,1,
2-hydroxy-2-[4-hydroxy-3-(3-methylbut-2-en-1-yl)phenyl]acetic acid,2-hydroxy-2-[4-hydroxy-3-(3-methylbut-2-en-1-yl)phenyl]acetic acid,HMDB0135908,443851,C12457,CC(C)=CCC1=CC(=CC=C1O)C(O)C(O)=O,1,
1-Naphthaleneacetic acid,1-Naphthaleneacetic acid,HMDB0032708,6862,C13014,C1=CC=C2C(=C1)C=CC=C2CC(=O)O,1,
4-Hydroxyphenylpyruvic acid,4-Hydroxyphenylpyruvic acid,HMDB0000707,979,C01179,C1=CC(=CC=C1CC(=O)C(=O)O)O,1,
Thymol,Thymol,HMDB0001878,6989,C09908,CC1=CC(=C(C=C1)C(C)C)O,1,
Cyclandelate,Cyclandelate,HMDB0015586,2893,NA,CC1CC(CC(C1)(C)C)OC(=O)C(C2=CC=CC=C2)O,1,
1-(4-Methoxyphenyl)-1-penten-3-one,1-(4-Methoxyphenyl)-1-penten-3-one,HMDB0030905,5803450,NA,CCC(=O)/C=C/C1=CC=C(C=C1)OC,1,
Gibberellin A93,Gibberellin A93,HMDB0031366,131751157,NA,CC12C3OC3C(O)C3(OC1=O)C1CCC4(O)CC1(CC4=C)C(C23)C(O)=O,1,
"1,3-Dimethyluracil","1,3-Dimethyluracil",HMDB0002144,70122,NA,CN1C=CC(=O)N(C1=O)C,1,
3-Sulfocatechol,3-Sulfocatechol,NA,8572,C06336,NA,1,
Uridine diphosphate glucose,Uridine diphosphate glucose,HMDB0000286,53477679,C00029,C1=CN(C(=O)NC1=O)[C@@H]2[C@H]([C@H]([C@@H](O2)COP(=O)(O)OP(=O)(O)OC3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)O)O)O,1,
N-Acetylgalactosamine,N-Acetylgalactosamine,HMDB0000212,84265,C01074,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@@H]1O)CO)O)O,1,
4-Hydroxycyclohexylcarboxylic acid,4-Hydroxycyclohexylcarboxylic acid,HMDB0001988,151138,C04404,C1CC(CCC1C(=O)O)O,1,
QH2,QH2,HMDB0001304,5280344,C00390,CC1=C(C(=C(C(=C1O)OC)OC)O)C/C=C(\C)/CCC=C(C)C,1,
7-Hydroxyoctanoic acid,7-Hydroxyoctanoic acid,HMDB0000486,167627,NA,CC(CCCCCC(=O)O)O,1,
Gabapentin,Gabapentin,HMDB0005015,3446,NA,C1CCC(CC1)(CC(=O)O)CN,1,
4-Isopropylbenzoic acid,4-Isopropylbenzoic acid,HMDB0035268,10820,C06578,CC(C)C1=CC=C(C=C1)C(=O)O,1,
"8-Hydroxy-5,6-octadienoic acid","8-Hydroxy-5,6-octadienoic acid",HMDB0031101,54042244,NA,OCC=C=CCCCC(O)=O,1,
3'-Methoxyfukiic acid,3'-Methoxyfukiic acid,HMDB0029498,131750880,NA,COC1=C(O)C=CC(CC(O)(C(O)C(O)=O)C(O)=O)=C1,1,
4'-O-Methylkanzonol W,4'-O-Methylkanzonol W,HMDB0032602,131751269,NA,COC1=CC(O)=C(C=C1)C1=CC2=C(OC1=O)C1=C(OC(C)(C)C=C1)C=C2,1,
Eicosenoic acid,Eicosenoic acid,HMDB0002231,5282768,C16526,CCCCCCCC/C=C\CCCCCCCCCC(=O)O,1,
(å±)-3-Hydroxynonanoic acid,(å±)-3-Hydroxynonanoic acid,HMDB0031513,36599,NA,CCCCCCC(CC(=O)O)O,1,
(å±)-Methamidophos,(å±)-Methamidophos,HMDB0031803,4096,C18667,COP(=O)(N)SC,1,
"L-Menthone 1,2-glycerol ketal","L-Menthone 1,2-glycerol ketal",HMDB0032367,977178,NA,COC1=CC=CC=C1C2=NC(=NN2)SCC3=CC=CC=C3,1,
Caftaric acid,Caftaric acid,HMDB0013680,6440397,NA,C1=CC(=C(C=C1/C=C/C(=O)O[C@H]([C@H](C(=O)O)O)C(=O)O)O)O,1,
Pyruvaldehyde,Pyruvaldehyde,HMDB0001167,880,C00546,CC(=O)C=O,1,
Isoelemicin,Isoelemicin,HMDB0029867,5318557,C16975,C/C=C/C1=CC(=C(C(=C1)OC)OC)OC,1,
4-Ethylphenol,4-Ethylphenol,HMDB0029306,31242,C13637,CCC1=CC=C(C=C1)O,1,
1-Methylhistidine,1-Methylhistidine,HMDB0000001,92105,C01152,CN1C=C(N=C1)C[C@@H](C(=O)O)N,1,
Glutamylproline,Glutamylproline,HMDB0028827,11218768,NA,C1C[C@H](N(C1)C(=O)[C@H](CCC(=O)O)N)C(=O)O,1,
(2-Naphthalenyloxy)acetic acid,(2-Naphthalenyloxy)acetic acid,HMDB0032706,8422,C18750,C1=CC=C2C=C(C=CC2=C1)OCC(=O)O,1,
"2,6-Dimethyl-naphtalene","2,6-Dimethyl-naphtalene",HMDB0059764,11387,C14330,CC1=CC2=C(C=C1)C=C(C)C=C2,1,
2-Oxo-8-methylthiooctanoic acid,2-Oxo-8-methylthiooctanoic acid,METPA1750,NA,C17224,NA,1,
Alpha-CEHC,Alpha-CEHC,HMDB0001518,9943542,NA,CC1=C(C(=C2CCC(OC2=C1C)(C)CCC(=O)O)C)O,1,
3-Oxodecanoic acid,3-Oxodecanoic acid,HMDB0010724,5282982,NA,CCCCCCCC(=O)CC(=O)O,1,
Cephaloglycin,Cephaloglycin,HMDB0014827,19150,C13440,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)SC1)C(=O)O,1,
7C-aglycone,7C-aglycone,HMDB0004808,20348793,NA,CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(/C)\CCC(=O)O,1,
5-Methoxytryptamine,5-Methoxytryptamine,HMDB0004095,1833,C05659,COC1=CC2=C(C=C1)NC=C2CCN,1,
2-(4-Methyl-5-thiazolyl)ethyl formate,2-(4-Methyl-5-thiazolyl)ethyl formate,HMDB0032420,71587339,NA,CC1=C(CCOC=O)N=CS1,1,
"Indole-5,6-quinone","Indole-5,6-quinone",HMDB0006779,440728,C05579,C1=CNC2=CC(=O)C(=O)C=C21,1,
4-Coumaryl alcohol,4-Coumaryl alcohol,HMDB0003654,54682930,C02646,C1=CC(=CC=C1/C=C/CO)O,1,
Sebacic acid,Sebacic acid,HMDB0000792,5192,C08277,C(CCCCC(=O)O)CCCC(=O)O,1,
Galactitol,Galactitol,HMDB0000107,11850,C01697,C([C@H]([C@@H]([C@@H]([C@H](CO)O)O)O)O)O,1,
Tetracosanoic acid,Tetracosanoic acid,HMDB0002003,11197,C08320,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O,1,
Cucurbic acid,Cucurbic acid,HMDB0029388,6123064,NA,CC/C=C/CC1C(CCC1O)CC(=O)O,1,
LysoPE(0:0/16:0),LysoPE(0:0/16:0),HMDB0011473,53480922,NA,CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN,1,
Methylmalonic acid,Methylmalonic acid,HMDB0000202,487,C02170,CC(C(=O)O)C(=O)O,1,
Otobanone,Otobanone,HMDB0030618,14462032,NA,CC1C(C)C(=O)C2=C(C1C1=CC3=C(OCO3)C=C1)C1=C(OCO1)C=C2,1,
5-Ethyl-3-hydroxy-4-methyl-2(5H)-furanone,5-Ethyl-3-hydroxy-4-methyl-2(5H)-furanone,HMDB0033551,61199,NA,CCC1C(=C(C(=O)O1)O)C,1,
2-C-Methyl-D-erythritol 4-phosphate,2-C-Methyl-D-erythritol 4-phosphate,METPA1027,NA,C11434,NA,1,
Dacarbazine,Dacarbazine,HMDB0014989,2942,C06936,CN(C)N=NC1=C(N=CN1)C(N)=O,1,
3-(Methylthio)-1-propanol,3-(Methylthio)-1-propanol,HMDB0031716,10448,NA,CSCCCO,1,
5-Tetradecenoic acid,5-Tetradecenoic acid,HMDB0000499,5282740,NA,CCCCCCCC/C=C/CCCC(=O)O,1,
7-Methoxy-6-methyl-2H-1-benzopyran-2-one,7-Methoxy-6-methyl-2H-1-benzopyran-2-one,HMDB0032991,11106144,NA,CC1=C(C=C2C(=C1)C=CC(=O)O2)OC,1,
Pentacosanoic acid,Pentacosanoic acid,HMDB0002361,10468,NA,CCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,1,
Xanthine,Xanthine,HMDB0000292,1188,C00385,C1=NC2=C(N1)C(=O)NC(=O)N2,1,
Bikojic acid,Bikojic acid,HMDB0034034,89014314,NA,OCC1=CC(=O)C(O)=C(O1)C1=C(O)C(=O)C=C(CO)O1,1,
Arachidonic acid,Arachidonic acid,HMDB0001043,444899,C00219,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,1,
Cyclohexaneundecanoic acid,Cyclohexaneundecanoic acid,HMDB0030997,192796,C12100,C1CCC(CC1)CCCCCCCCCCC(=O)O,1,
Lovastatin,Lovastatin,HMDB0014372,53232,C07074,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,1,
2-(4-Methoxyphenyl)naphthalic anhydride,2-(4-Methoxyphenyl)naphthalic anhydride,HMDB0032909,101673656,NA,COC1=CC=C(C=C1)C1=C2C(=O)OC(=O)C3=CC=CC(C=C1)=C23,1,
3-Methyladipic acid,3-Methyladipic acid,HMDB0000555,6999745,NA,C[C@@H](CCC(=O)O)CC(=O)O,1,
1-Methylnaphthalene,1-Methylnaphthalene,HMDB0032860,7002,C14082,CC1=CC=CC2=CC=CC=C12,1,
Pelargonidin 3-O-[b-D-Glucopyranosyl-(1->2)-[4-hydroxycinnamoyl-(->6)]-b-D-glucopyranoside](E-) 5-O-(6-O-malonyl-b-D-glucopyranoside),Pelargonidin 3-O-[b-D-Glucopyranosyl-(1->2)-[4-hydroxycinnamoyl-(->6)]-b-D-glucopyranoside](E-) 5-O-(6-O-malonyl-b-D-glucopyranoside),HMDB0035452,131751762,NA,OCC1OC(OC2C(O)C(O)C(COC(=O)\C=C\C3=CC=C(O)C=C3)OC2OC2=CC3=C(OC4OC(COC(=O)CC(O)=O)C(O)C(O)C4O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)C(O)C(O)C1O,1,
1-(1-Methoxy-1-methylethyl)-4-methylbenzene,1-(1-Methoxy-1-methylethyl)-4-methylbenzene,HMDB0029653,14121774,NA,CC1=CC=C(C=C1)C(C)(C)OC,1,
trans-Ferulic acid,trans-Ferulic acid,HMDB0000954,445858,C01494,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,1,
LysoPE(0:0/15:0),LysoPE(0:0/15:0),HMDB0011472,53480921,NA,CCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN,1,
Erinacine G,Erinacine G,HMDB0029655,85182202,NA,CC(C)C(=O)CCC1(C)CCC2(C)C3OC4OCC5(O)C(O)C(=CCC2C1=O)C3C4(O)C5O,1,
2-Methyl-1-phenyl-2-propanyl acetate,2-Methyl-1-phenyl-2-propanyl acetate,HMDB0031571,9024,NA,CC(=O)OC(C)(C)CC1=CC=CC=C1,1,
Minaprine,Minaprine,HMDB0014943,4199,NA,CC1=CC(=NN=C1NCCN2CCOCC2)C3=CC=CC=C3,1,
5-Hydroxy-7-(4-hydroxy-3-methoxyphenyl)-1-phenyl-3-heptanone,5-Hydroxy-7-(4-hydroxy-3-methoxyphenyl)-1-phenyl-3-heptanone,HMDB0029524,5318228,NA,COC1=C(C=CC(=C1)CCC(CC(=O)CCC2=CC=CC=C2)O)O,1,
Linalyl propionate,Linalyl propionate,HMDB0030425,61098,NA,CCC(=O)OC(C)(CCC=C(C)C)C=C,1,
"2-Polyprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone","2-Polyprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone",HMDB0060352,135437103,C17562,COC1=C(O)C(=O)C(C)=C(C\C=C(/C)CCC=C(C)C)C1=O,1,
Guaifenesin,Guaifenesin,HMDB0004998,3516,NA,COC1=CC=CC=C1OCC(CO)O,1,
L-beta-aspartyl-L-glutamic acid,L-beta-aspartyl-L-glutamic acid,HMDB0011164,25207301,NA,C(CC(=O)O)C(C(=O)O)NC(=O)CC(C(=O)O)N,1,
1-Naphthalenesulfonic acid,1-Naphthalenesulfonic acid,NA,47205509,C16201,NA,1,
"(+)-cis-5,6-Dihydro-5-hydroxy-4-methoxy-6-(2-phenylethyl)-2H-pyran-2-one","(+)-cis-5,6-Dihydro-5-hydroxy-4-methoxy-6-(2-phenylethyl)-2H-pyran-2-one",HMDB0029575,575067,NA,COC1=CC(=O)OC(C1O)CCC2=CC=CC=C2,1,
Shikimic acid,Shikimic acid,HMDB0003070,8742,C00493,C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)O)O)O,1,
Acetone,Acetone,HMDB0001659,180,C00207,CC(=O)C,1,
Cyanuric acid,Cyanuric acid,HMDB0041861,7956,C06554,OC1=NC(O)=NC(O)=N1,1,
Hydroxyprolyl-Valine,Hydroxyprolyl-Valine,HMDB0028876,61158071,NA,CC(C)C(NC(=O)C1CC(O)CN1)C(O)=O,1,
Eremopetasinorol,Eremopetasinorol,HMDB0029668,131750892,NA,CC1C(O)CCC2CC(=CC12C)C(C)=O,1,
Plastoquinone 3,Plastoquinone 3,HMDB0033786,131751487,NA,CC(C)=CCC\C(C)=C\CC\C(C)=C/CC1=CC(=O)C(C)=C(C)C1=O,1,
epothilone D,epothilone D,NA,447865,C12039,C/C1=C/C(/C(C)=C/c2csc(C)n2)OC(=O)C(O)C(C)(C)C(=O)(C)(O)(C)CCC1,1,
Edetic Acid,Edetic Acid,HMDB0015109,6049,C00284,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,1,
"MG(0:0/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)","MG(0:0/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)",HMDB0011555,53480970,NA,CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(CO)CO,1,
Avocadyne,Avocadyne,HMDB0035473,3015189,NA,C#CCCCCCCCCCCCC(CC(CO)O)O,1,
(S)-Pterosin A,(S)-Pterosin A,HMDB0030757,5320779,NA,CC1=C(C(=C2C(=C1)CC(C2=O)(C)CO)C)CCO,1,
2(N)-Methyl-norsalsolinol,2(N)-Methyl-norsalsolinol,HMDB0001189,37764,NA,CN1CCC2=CC(=C(C=C2C1)O)O,1,
Capsidiol,Capsidiol,HMDB0002352,161937,C09627,C[C@@H]1[C@@H](C[C@H](C2=CC[C@H](C[C@]12C)C(=C)C)O)O,1,
"3,4-Dimethylthiophene","3,4-Dimethylthiophene",HMDB0032980,79089,NA,CC1=CSC=C1C,1,
6-Phosphogluconic acid,6-Phosphogluconic acid,HMDB0001316,91493,C00345,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)O,1,
Adenine,Adenine,HMDB0000034,190,C00147,C1=NC2=C(N1)C(=NC=N2)N,1,
Coprocholic acid,Coprocholic acid,HMDB0000601,44263325,NA,C[C@H](CCCC(C)C(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,1,
Cholesterol sulfate,Cholesterol sulfate,HMDB0000653,65076,C18043,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OS(=O)(=O)O)C)C,1,
2-Pentadecylfuran,2-Pentadecylfuran,HMDB0033609,181250,NA,CCCCCCCCCCCCCCCC1=CC=CO1,1,
"PE(20:4(5Z,8Z,11Z,14Z)/P-18:1(11Z))","PE(20:4(5Z,8Z,11Z,14Z)/P-18:1(11Z))",HMDB0009413,53479797,C00350,CCCCCC/C=C\CCCCCCCC/C=C\O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COP(=O)(O)OCCN,1,
Dimethylbenzyl carbinyl hexanoate,Dimethylbenzyl carbinyl hexanoate,HMDB0032228,71587848,NA,CCCCCC(=O)OC(C)(C)CC1=CC=CC=C1,1,
(S)-9-Hydroxy-10-undecenoic acid,(S)-9-Hydroxy-10-undecenoic acid,HMDB0032662,10465398,NA,C=CC(CCCCCCCC(=O)O)O,1,
27-Norcholestanehexol,27-Norcholestanehexol,HMDB0002157,196302,NA,C[C@H](CCC(C(CO)O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,1,
"1,4-Dihydroxy-2-naphthoate","1,4-Dihydroxy-2-naphthoate",METPA0422,NA,C03657,NA,1,
Hesperetin,Hesperetin,HMDB0005782,72281,C01709,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O,1,
2-(6'-Methylthio)hexylmalic acid,2-(6'-Methylthio)hexylmalic acid,METPA1770,NA,C17226,NA,1,
1-(5-Acetyl-2-hydroxyphenyl)-3-methyl-1-butanone,1-(5-Acetyl-2-hydroxyphenyl)-3-methyl-1-butanone,HMDB0032589,13308867,NA,CC(C)CC(=O)C1=C(O)C=CC(=C1)C(C)=O,1,
"6-Acetyl-2,2-dimethyl-2H-1-benzopyran","6-Acetyl-2,2-dimethyl-2H-1-benzopyran",HMDB0030816,177040,NA,CC(=O)C1=CC2=C(C=C1)OC(C=C2)(C)C,1,
Puromycin,Puromycin,NA,4763,C01610,NA,1,
Naproxen,Naproxen,HMDB0001923,156391,C01517,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,1,
L-Fucose,L-Fucose,HMDB0000174,25310,C01019,C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O,1,
6-Deoxocastasterone,6-Deoxocastasterone,HMDB0033984,13870433,C15802,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(C[C@H]([C@H](C4)O)O)C)C)[C@H]([C@@H]([C@@H](C)C(C)C)O)O,1,
Tetradecanedioic acid,Tetradecanedioic acid,HMDB0000872,13185,NA,C(CCCCCCC(=O)O)CCCCCC(=O)O,1,
2-Oxosuberate,2-Oxosuberate,NA,51090916,C16589,NA,1,
Methyl dihydrojasmonate,Methyl dihydrojasmonate,HMDB0031740,102861,NA,CCCCCC1C(CCC1=O)CC(=O)OC,1,
"3a,16b-Dihydroxyandrostenone","3a,16b-Dihydroxyandrostenone",HMDB0000309,NA,NA,[H][C@@]12C[C@H](O)C[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2CC(O)=CC(=O)[C@]12C,1,
"3alpha-Hydroxy-3,5-dihydromonacolin L acid","3alpha-Hydroxy-3,5-dihydromonacolin L acid",NA,254741318,C20852,NA,1,
Citrinin,Citrinin,HMDB0041857,54680783,C16765,[H][C@]1(C)OC=C2C(O)=C(C(O)=O)C(=O)C(C)=C2[C@]1([H])C,1,
"(2E,11Z)-5-[5-(Methylthio)-4-penten-2-ynyl]-2-furanacrolein","(2E,11Z)-5-[5-(Methylthio)-4-penten-2-ynyl]-2-furanacrolein",HMDB0031070,131751128,NA,CS\C=C/C#CCC1=CC=C(O1)\C=C/C=O,1,
"PC(15:0/18:4(6Z,9Z,12Z,15Z))","PC(15:0/18:4(6Z,9Z,12Z,15Z))",HMDB0007943,52922318,C00157,CCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC,1,
Catechin 7-glucoside,Catechin 7-glucoside,HMDB0037949,14282767,C09617,OCC1OC(OC2=CC(O)=C3CC(O)C(OC3=C2)C2=CC(O)=C(O)C=C2)C(O)C(O)C1O,1,
"2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine","2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine",METPA0546,NA,C04807,NA,1,
Dodecanedioic acid,Dodecanedioic acid,HMDB0000623,12736,C02678,C(CCCCCC(=O)O)CCCCC(=O)O,1,
"2,2,4,4,-Tetramethyl-6-(1-oxopropyl)-1,3,5-cyclohexanetrione","2,2,4,4,-Tetramethyl-6-(1-oxopropyl)-1,3,5-cyclohexanetrione",HMDB0033191,100958560,NA,CCC(=O)C1C(=O)C(C)(C)C(=O)C(C)(C)C1=O,1,
Ubiquinone-1,Ubiquinone-1,HMDB0002012,4462,C00399,CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)C,1,
"2-(2-Thienylmethylene)-1,6-dioxaspiro[4.4]non-3-ene","2-(2-Thienylmethylene)-1,6-dioxaspiro[4.4]non-3-ene",HMDB0034857,12045806,NA,C1COC2(C1)O\C(=C\C1=CC=CS1)C=C2,1,
12(13)Ep-9-KODE,12(13)Ep-9-KODE,HMDB0013623,5283007,NA,CCCCCC1C(O1)/C=C/C(=O)CCCCCCCC(=O)O,1,
3-Oxododecanoic acid,3-Oxododecanoic acid,HMDB0010727,439717,C02367,CCCCCCCCCC(=O)CC(=O)O,1,
p-Cresol sulfate,p-Cresol sulfate,HMDB0011635,4615423,NA,CC1=CC=C(C=C1)OS(=O)(=O)O,1,
"3,4,5-Trimethoxycinnamic acid","3,4,5-Trimethoxycinnamic acid",HMDB0002511,735755,NA,COC1=CC(=CC(=C1OC)OC)/C=C/C(=O)O,1,
Galactonic acid,Galactonic acid,HMDB0000565,128869,C00880,C([C@H]([C@@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O,1,
6-Phenyl-3-hexen-2-one,6-Phenyl-3-hexen-2-one,HMDB0031622,5368427,NA,CC(=O)/C=C/CCC1=CC=CC=C1,1,
2-Methylacetophenone,2-Methylacetophenone,HMDB0032386,11339,C07874,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,1,
