ionIdx,ionMz,MzDelta,Mod,Formula,CompoundID,annSource,Compound_Name
211,162.0561,-7.23E-05,-H(-),C9H9NO2,HMDB0001424,['hmdb40_kegg_H_F_K_Na'],4-(3-Pyridyl)-3-butenoic acid
212,162.0781,-0.0009571,-H(-),C6H13NO4,HMDB0011727,['hmdb40_kegg_H_F_K_Na'],Bicine
213,163.0403,-0.0002687,-H(-),C9H8O3,HMDB0000205,['hmdb40_kegg_H_F_K_Na'],Phenylpyruvic acid
214,163.0507,0.0006147,-H(-),C8H8N2O2,HMDB0042006,['hmdb40_kegg_H_F_K_Na'],Ricinine
215,163.0614,-0.0002515,-H(-),C6H12O5,HMDB0000174,['hmdb40_kegg_H_F_K_Na'],L-Fucose
216,163.0771,-0.0006183,-H(-),C10H12O2,HMDB0000329,['hmdb40_kegg_H_F_K_Na'],4-Isopropylbenzoic acid
217,163.1131,-0.0002189,-H(-),C11H16O,HMDB0029653,['hmdb40_kegg_H_F_K_Na'],1-(1-Methoxy-1-methylethyl)-4-methylbenzene
218,164.0212,0.0002187,-H(-),C5H3N5O2,HMDB0041820,['hmdb40_kegg_H_F_K_Na'],4-Methylthiobutylthiohydroximate
219,164.0354,-6.07E-05,-H(-),C8H7NO3,HMDB0003454,['hmdb40_kegg_H_F_K_Na'],4-Pyridoxolactone
220,164.0455,0.0010987,-H(-),C7H7N3O2,NA,['hmdb40_kegg_H_F_K_Na'],NA
221,164.0586,-0.0007929,-H(-),C6H7N5O,HMDB0000897,['hmdb40_kegg_H_F_K_Na'],7-Methylguanine
222,164.0719,-0.0001903,-H(-),C9H11NO2,HMDB0000159,['hmdb40_kegg_H_F_K_Na'],L-Phenylalanine
223,165.0196,-0.0002811,-H(-),C8H6O4,HMDB0002107,['hmdb40_kegg_H_F_K_Na'],Phthalic acid
224,165.0417,-0.0003655,-H(-),C6H14OS2,HMDB0034394,['hmdb40_kegg_H_F_K_Na'],S-Propyl 1-propanesulfinothioate
225,165.9794,-0.0003681,-H(-),C7H5NS2,HMDB0030524,['hmdb40_kegg_H_F_K_Na'],2(3H)-Benzothiazolethione
226,166.0149,-0.0002961,-H(-),C7H5NO4,HMDB0000232,['hmdb40_kegg_H_F_K_Na'],Quinolinic acid
227,166.0377,-0.0006823,-H(-),C5H5N5O2,HMDB0000401,['hmdb40_kegg_H_F_K_Na'],"2,8-Dihydroxyadenine"
228,166.0511,-0.0001637,-H(-),C8H9NO3,HMDB0001545,['hmdb40_kegg_H_F_K_Na'],Pyridoxal
229,166.9756,-0.0005284,-H(-),C3H5O6P,HMDB0000263,['hmdb40_kegg_H_F_K_Na'],Phosphoenolpyruvic acid
230,166.9997,-0.0010615,-H(-),C7H4O5,NA,['hmdb40_kegg_H_F_K_Na'],NA
231,167.0211,-1.07E-05,-H(-),C5H4N4O3,HMDB0000289,['hmdb40_kegg_H_F_K_Na'],Uric acid
232,167.9973,-7.88E-05,-H(-),C3H7NO5S,HMDB0002757,['hmdb40_kegg_H_F_K_Na'],Cysteic acid
233,168.0128,-0.0003246,-H(-),C7H7NO2S,NA,['hmdb40_kegg_H_F_K_Na'],"Thiobenzamide S,S-dioxide"
234,168.067,-0.0003767,-H(-),C8H11NO3,HMDB0000216,['hmdb40_kegg_H_F_K_Na'],Norepinephrine
235,168.078,-0.0001763,-H(-),C7H11N3O2,HMDB0000001,['hmdb40_kegg_H_F_K_Na'],1-Methylhistidine
236,169.0762,0.0008835,-H(-),C11H10N2,HMDB0029747,['hmdb40_kegg_H_F_K_Na'],2-Amino-5-phenylpyridine
237,169.1235,-5.33E-05,-H(-),C10H18O2,HMDB0004980,['hmdb40_kegg_H_F_K_Na'],cis-4-Decenoic acid
238,170.0273,0.0007794,-H(-),C7H9NO2S,HMDB0032420,['hmdb40_kegg_H_F_K_Na'],2-(4-Methyl-5-thiazolyl)ethyl formate
239,170.0829,-0.0006207,-H(-),C8H13NO3,NA,['hmdb40_kegg_H_F_K_Na'],NA
240,170.119,-0.0003763,-H(-),C9H17NO2,HMDB0005015,['hmdb40_kegg_H_F_K_Na'],Gabapentin
241,171.0119,0.000246,-H(-),C7H8O3S,HMDB0059933,['hmdb40_kegg_H_F_K_Na'],p-Toluenesulfonic acid
242,171.0302,-0.0003055,-H(-),C7H8O5,HMDB0304122,['hmdb40_kegg_H_F_K_Na'],3-Dehydroshikimate
243,171.0558,0.0005731,-H(-),C10H8N2O,HMDB0037296,['hmdb40_kegg_H_F_K_Na'],NA
244,171.0665,-0.0002661,-H(-),C8H12O4,HMDB0000341,['hmdb40_kegg_H_F_K_Na'],2-Octenedioic acid
245,171.103,-0.0003097,-H(-),C9H16O3,HMDB0036188,['hmdb40_kegg_H_F_K_Na'],9-Oxononanoic acid
246,171.1394,-0.0003093,-H(-),C10H20O2,HMDB0000511,['hmdb40_kegg_H_F_K_Na'],Capric acid
247,172.0399,0.0005047,-H(-),C10H7NO2,HMDB0000842,['hmdb40_kegg_H_F_K_Na'],Quinaldic acid
248,172.0983,-0.0004307,-H(-),C8H15NO3,HMDB0000701,['hmdb40_kegg_H_F_K_Na'],Hexanoylglycine
249,172.9919,-0.0005184,-H(-),C6H6O4S,HMDB0060015,['hmdb40_kegg_H_F_K_Na'],Phenyl hydrogen sulfate
250,173.0083,0.0008261,-H(-),C6H6O6,HMDB0000072,['hmdb40_kegg_H_F_K_Na'],cis-Aconitic acid
251,173.0456,-9.50E-06,-H(-),C7H10O5,HMDB0003070,['hmdb40_kegg_H_F_K_Na'],Shikimic acid
252,173.0568,-1.21E-05,-H(-),C6H10N2O4,HMDB0000854,['hmdb40_kegg_H_F_K_Na'],Formiminoglutamic acid
253,173.0608,9.70E-06,-H(-),C11H10O2,HMDB0031845,['hmdb40_kegg_H_F_K_Na'],3-Propylidene-1(3H)-isobenzofuranone
254,173.0712,0.0008451,-H(-),C10H10N2O,HMDB0006240,['hmdb40_kegg_H_F_K_Na'],Demethylated antipyrine
255,173.0821,-0.0001431,-H(-),C8H14O4,HMDB0000837,['hmdb40_kegg_H_F_K_Na'],Suberic acid
256,173.0972,2.31E-05,-H(-),C12H14O,HMDB0031622,['hmdb40_kegg_H_F_K_Na'],6-Phenyl-3-hexen-2-one
257,173.1043,8.17E-05,-H(-),C6H14N4O2,HMDB0000517,['hmdb40_kegg_H_F_K_Na'],L-Arginine
258,173.1175,0.0008273,-H(-),C9H18O3,HMDB0031513,['hmdb40_kegg_H_F_K_Na'],(±)-3-Hydroxynonanoic acid
259,173.1293,0.0002287,-H(-),C8H18N2O2,HMDB0013287,['hmdb40_kegg_H_F_K_Na'],"Ne,Ne dimethyllysine"
260,174.041,-0.0001545,-H(-),C6H9NO5,HMDB0000812,['hmdb40_kegg_H_F_K_Na'],N-Acetyl-L-aspartic acid
261,175.0245,0.0003051,-H(-),C6H8O6,HMDB0000044,['hmdb40_kegg_H_F_K_Na'],Ascorbic acid
262,175.0444,-0.000934,-H(-),C7H12O3S,HMDB0040003,['hmdb40_kegg_H_F_K_Na'],2-Oxo-6-methylthiohexanoic acid
263,175.0516,-0.0002853,-H(-),C9H8N2O2,HMDB0246310,['hmdb40_kegg_H_F_K_Na'],NA
264,175.0609,0.0002855,-H(-),C7H12O5,HMDB0000402,['hmdb40_kegg_H_F_K_Na'],2-Isopropylmalic acid
265,175.0767,-0.0002253,-H(-),C11H12O2,HMDB0029699,['hmdb40_kegg_H_F_K_Na'],Cinnamyl acetate
266,175.0975,9.19E-05,-H(-),C8H16O4,HMDB0254499,['hmdb40_kegg_H_F_K_Na'],NA
267,175.1124,0.0004631,-H(-),C12H16O,HMDB0031569,['hmdb40_kegg_H_F_K_Na'],4-Methyl-1-phenyl-2-pentanone
268,176.0392,-0.000547,-H(-),C6H11NO3S,HMDB0001015,['hmdb40_kegg_H_F_K_Na'],N-Formyl-L-methionine
269,177.0189,0.0004719,-H(-),C9H6O4,HMDB0030819,['hmdb40_kegg_H_F_K_Na'],Aesculetin
270,177.0405,-6.09E-05,-H(-),C6H10O6,HMDB0000150,['hmdb40_kegg_H_F_K_Na'],Gluconolactone
271,177.0921,1.47E-05,-H(-),C11H14O2,HMDB0002043,['hmdb40_kegg_H_F_K_Na'],5-Phenylvaleric acid
272,178.051,-6.07E-05,-H(-),C9H9NO3,HMDB0000714,['hmdb40_kegg_H_F_K_Na'],Hippuric acid
273,178.0875,-0.0001693,-H(-),C10H13NO2,HMDB0001189,['hmdb40_kegg_H_F_K_Na'],2(N)-Methyl-norsalsolinol
274,179.0032,-0.0003394,-H(-),C6H12S3,HMDB0031671,['hmdb40_kegg_H_F_K_Na'],"2,4,6-Trimethyl-1,3,5-trithiane"
275,179.0351,-0.0001541,-H(-),C9H8O4,HMDB0000707,['hmdb40_kegg_H_F_K_Na'],4-Hydroxyphenylpyruvic acid
276,179.1079,-0.0001843,-H(-),C11H16O2,HMDB0030007,['hmdb40_kegg_H_F_K_Na'],"2,2,7,7-Tetramethyl-1,6-dioxaspiro[4.4]nona-3,8-diene"
277,180.0529,-0.0001763,-H(-),C6H7N5O2,HMDB0006037,['hmdb40_kegg_H_F_K_Na'],8-Hydroxy-7-methylguanine
278,180.0666,3.63E-05,-H(-),C9H11NO3,HMDB0000158,['hmdb40_kegg_H_F_K_Na'],L-Tyrosine
279,181.0504,0.0002039,-H(-),C9H10O4,HMDB0000118,['hmdb40_kegg_H_F_K_Na'],Homovanillic acid
280,181.0721,-0.0002999,-H(-),C6H14O6,HMDB0000107,['hmdb40_kegg_H_F_K_Na'],Galactitol
281,181.0844,-7.39E-05,-H(-),C6H10N6O,HMDB0014989,['hmdb40_kegg_H_F_K_Na'],Dacarbazine
282,181.1237,-0.0002753,-H(-),C11H18O2,HMDB0030006,['hmdb40_kegg_H_F_K_Na'],"2,2,7,7-Tetramethyl-1,6-dioxaspiro[4.4]non-3-ene"
283,181.9918,-2.90E-05,-H(-),C7H5NO3S,HMDB0029723,['hmdb40_kegg_H_F_K_Na'],Saccharin
284,182.0133,-0.0004708,-H(-),C4H9NO5S,HMDB0002205,['hmdb40_kegg_H_F_K_Na'],L-Homocysteic acid
285,182.0458,5.19E-05,-H(-),C8H9NO4,HMDB0000017,['hmdb40_kegg_H_F_K_Na'],4-Pyridoxic acid
286,183.0122,-0.000112,-H(-),C8H8O3S,HMDB0015435,['hmdb40_kegg_H_F_K_Na'],Polystyrene sulfonate
287,183.0492,-0.0006346,-H(-),C9H12O2S,HMDB0032401,['hmdb40_kegg_H_F_K_Na'],(+/-)-3-[(2-methyl-3-furyl)thio]-2-butanone
288,183.0555,0.0009351,-H(-),C11H8N2O,HMDB0341317,['hmdb40_kegg_H_F_K_Na'],(+/-)-Furilazole
289,184.0019,-0.0002844,-H(-),C3H8NO6P,HMDB0000272,['hmdb40_kegg_H_F_K_Na'],Phosphoserine
290,184.0258,-0.0006885,-H(-),C7H7NO5,HMDB0001330,['hmdb40_kegg_H_F_K_Na'],2-Amino-3-carboxymuconic acid semialdehyde
291,184.0507,0.0009131,-H(-),C10H7N3O,NA,['hmdb40_kegg_H_F_K_Na'],NA
292,184.9857,-3.80E-06,-H(-),C3H7O7P,HMDB0000362,['hmdb40_kegg_H_F_K_Na'],2-Phosphoglyceric acid
293,185.0096,-0.0004319,-H(-),C7H6O6,HMDB0060371,['hmdb40_kegg_H_F_K_Na'],3-Fumarylpyruvate
294,185.0401,-0.0010806,-H(-),C7H10N2O2S,HMDB0014533,['hmdb40_kegg_H_F_K_Na'],Carbimazole
295,185.0608,-1.33E-05,-H(-),C12H10O2,HMDB0032708,['hmdb40_kegg_H_F_K_Na'],1-Naphthaleneacetic acid
296,185.0819,7.59E-05,-H(-),C9H14O4,HMDB0030988,['hmdb40_kegg_H_F_K_Na'],5-(2-Methylpropyl)tetrahydro-2-oxo-3-furancarboxylic acid
297,185.0967,0.0005051,-H(-),C13H14O,HMDB0030931,['hmdb40_kegg_H_F_K_Na'],"(E)-2-Tridecene-4,6,8-triyn-1-ol"
298,185.1181,0.0002583,-H(-),C10H18O3,HMDB0010724,['hmdb40_kegg_H_F_K_Na'],3-Oxodecanoic acid
299,185.155,-0.0002483,-H(-),C11H22O2,HMDB0000947,['hmdb40_kegg_H_F_K_Na'],Undecanoic acid
300,186.1133,0.0002293,-H(-),C9H17NO3,HMDB0013010,['hmdb40_kegg_H_F_K_Na'],N-Heptanoylglycine
301,187.007,8.36E-05,-H(-),C7H8O4S,HMDB0011635,['hmdb40_kegg_H_F_K_Na'],p-Cresol sulfate
302,187.0609,0.0002745,-H(-),C8H12O5,HMDB0059767,['hmdb40_kegg_H_F_K_Na'],2-Oxosuberate
303,187.0765,-7.13E-05,-H(-),C12H12O2,HMDB0029495,['hmdb40_kegg_H_F_K_Na'],Trigoforin
304,187.0979,-0.0003311,-H(-),C9H16O4,HMDB0000784,['hmdb40_kegg_H_F_K_Na'],Azelaic acid
305,187.1341,-0.0001727,-H(-),C10H20O3,HMDB0002203,['hmdb40_kegg_H_F_K_Na'],3-Hydroxycapric acid
306,187.9966,-0.0003153,-H(-),C6H5O7,HMDB0304308,['hmdb40_kegg_H_F_K_Na'],Uric acid
307,188.0022,0.0001386,-H(-),C6H7NO4S,HMDB0004823,['hmdb40_kegg_H_F_K_Na'],Lanthionine ketimine
308,188.0359,-0.0005387,-H(-),C10H7NO3,HMDB0000715,['hmdb40_kegg_H_F_K_Na'],Kynurenic acid
309,188.0418,-0.0001303,-H(-),C6H12N3PS,HMDB0015576,['hmdb40_kegg_H_F_K_Na'],Thiotepa
310,188.0564,5.50E-06,-H(-),C7H11NO5,HMDB0000590,['hmdb40_kegg_H_F_K_Na'],Glutarylglycine
311,188.0717,-1.13E-05,-H(-),C11H11NO2,HMDB0002302,['hmdb40_kegg_H_F_K_Na'],Indole-3-propionic acid
312,188.092,0.0008369,-H(-),C8H15NO4,HMDB0036604,['hmdb40_kegg_H_F_K_Na'],NA
313,188.1113,0.0001858,-H(-),C9H19NOS,HMDB0251894,['hmdb40_kegg_H_F_K_Na'],NA
314,188.9857,0.0005722,-H(-),C6H6O5S,HMDB0059724,['hmdb40_kegg_H_F_K_Na'],3-Sulfocatechol
315,189.0186,0.0007579,-H(-),C10H6O4,HMDB0032944,['hmdb40_kegg_H_F_K_Na'],Coumarin-4-carboxylic acid
316,189.0561,-0.0003897,-H(-),C11H10O3,HMDB0032991,['hmdb40_kegg_H_F_K_Na'],7-Methoxy-6-methyl-2H-1-benzopyran-2-one
317,189.0763,0.0005065,-H(-),C8H14O5,HMDB0000325,['hmdb40_kegg_H_F_K_Na'],3-Hydroxysuberic acid
318,189.0881,-6.10E-06,-H(-),C7H14N2O4,HMDB0001370,['hmdb40_kegg_H_F_K_Na'],Diaminopimelic acid
319,189.0916,0.0005327,-H(-),C12H14O2,HMDB0030905,['hmdb40_kegg_H_F_K_Na'],1-(4-Methoxyphenyl)-1-penten-3-one
320,189.1025,0.0008101,-H(-),C11H14N2O,HMDB0004095,['hmdb40_kegg_H_F_K_Na'],5-Methoxytryptamine
321,189.1285,-4.79E-05,-H(-),C13H18O,HMDB0013804,['hmdb40_kegg_H_F_K_Na'],beta-Damascenone
322,190.0548,-0.000425,-H(-),C7H13NO3S,HMDB0011745,['hmdb40_kegg_H_F_K_Na'],N-Acetyl-L-methionine
323,191.0199,-0.0001763,-H(-),C6H8O7,HMDB0000094,['hmdb40_kegg_H_F_K_Na'],Citric acid
324,191.1079,-0.0001033,-H(-),C12H16O2,HMDB0031571,['hmdb40_kegg_H_F_K_Na'],2-Methyl-1-phenyl-2-propanyl acetate
325,192.0672,-0.0005577,-H(-),C10H11NO3,HMDB0000821,['hmdb40_kegg_H_F_K_Na'],Phenylacetylglycine
326,193.0142,5.95E-05,-H(-),C9H6O5,HMDB0129377,['hmdb40_kegg_H_F_K_Na'],NA
327,193.0352,0.0001417,-H(-),C6H10O7,HMDB0000127,['hmdb40_kegg_H_F_K_Na'],D-Glucuronic acid
328,193.0502,0.0004039,-H(-),C10H10O4,HMDB0000537,['hmdb40_kegg_H_F_K_Na'],trans-Ferulic acid
329,193.0651,0.0008161,-H(-),C14H10O,HMDB0059797,['hmdb40_kegg_H_F_K_Na'],1-Phenanthrol
330,193.0876,-0.0006087,-H(-),C11H14O3,HMDB0031517,['hmdb40_kegg_H_F_K_Na'],(R)-3-Hydroxy-5-phenylpentanoic acid
331,194.0673,-0.0002579,-H(-),C6H13NO6,HMDB0252768,['hmdb40_kegg_H_F_K_Na'],2'-Methoxyacetophenone
332,194.9971,-0.0002222,-H(-),C5H8O6S,HMDB0128930,['hmdb40_kegg_H_F_K_Na'],NA
333,195.0302,-0.0003295,-H(-),C9H8O5,HMDB0030800,['hmdb40_kegg_H_F_K_Na'],"3-Methoxy-4,5-methylenedioxybenzoic acid"
334,195.051,7.57E-05,-H(-),C6H12O7,HMDB0000565,['hmdb40_kegg_H_F_K_Na'],Galactonic acid
335,195.1388,0.0002277,-H(-),C12H20O2,HMDB0030867,['hmdb40_kegg_H_F_K_Na'],Dihydro-5-(2-octenyl)-2(3H)-furanone
336,196.0352,0.0011399,-H(-),C7H7N3O4,HMDB0246344,['hmdb40_kegg_H_F_K_Na'],"4-Amino-2,6-dinitrotoluene"
337,196.0617,-0.0002021,-H(-),C9H11NO4,HMDB0000181,['hmdb40_kegg_H_F_K_Na'],L-Dopa
338,197.0085,0.0006501,-H(-),C8H6O6,HMDB0304184,['hmdb40_kegg_H_F_K_Na'],"3,4-Dihydroxyphthalate"
339,197.025,-0.0005827,-H(-),C12H6O3,NA,['hmdb40_kegg_H_F_K_Na'],2-(4-Methoxyphenyl)naphthalic anhydride
340,197.0453,0.0002335,-H(-),C9H10O5,HMDB0000291,['hmdb40_kegg_H_F_K_Na'],Vanillylmandelic acid
341,197.0646,-0.0004306,-H(-),C10H14O2S,HMDB0036134,['hmdb40_kegg_H_F_K_Na'],NA
342,197.0816,0.0003749,-H(-),C10H14O4,HMDB0004998,['hmdb40_kegg_H_F_K_Na'],Guaifenesin
343,197.1546,0.0001417,-H(-),C12H22O2,HMDB0000529,['hmdb40_kegg_H_F_K_Na'],5-Dodecenoic acid
344,198.0593,0.0001194,-H(-),C9H13NO2S,HMDB0032424,['hmdb40_kegg_H_F_K_Na'],2-(4-Methyl-5-thiazolyl)ethyl propionate
345,199.0072,-0.0001814,-H(-),C8H8O4S,HMDB0062775,['hmdb40_kegg_H_F_K_Na'],NA
346,199.04,9.83E-05,-H(-),C12H8O3,NA,['hmdb40_kegg_H_F_K_Na'],NA
347,199.0613,-5.45E-05,-H(-),C9H12O5,HMDB0033091,['hmdb40_kegg_H_F_K_Na'],(Z)-3-(1-Formyl-1-propenyl)pentanedioic acid
348,199.0764,9.17E-05,-H(-),C13H12O2,HMDB0014738,['hmdb40_kegg_H_F_K_Na'],Monobenzone
349,199.1341,-0.0001047,-H(-),C11H20O3,HMDB0032662,['hmdb40_kegg_H_F_K_Na'],(S)-9-Hydroxy-10-undecenoic acid
350,199.1704,-9.30E-06,-H(-),C12H24O2,HMDB0000638,['hmdb40_kegg_H_F_K_Na'],Dodecanoic acid
351,200.1295,-0.0002387,-H(-),C10H19NO3,HMDB0000832,['hmdb40_kegg_H_F_K_Na'],Capryloylglycine
352,200.9866,-0.0002978,-H(-),C7H6O5S,HMDB0240374,['hmdb40_kegg_H_F_K_Na'],4-Sulfobenzoate
353,201.0193,6.79E-05,-H(-),C11H6O4,HMDB0013679,['hmdb40_kegg_H_F_K_Na'],Bergaptol
354,201.0552,0.0005133,-H(-),C12H10O3,HMDB0032706,['hmdb40_kegg_H_F_K_Na'],(2-Naphthalenyloxy)acetic acid
355,201.0766,0.0002015,-H(-),C9H14O5,HMDB0032306,['hmdb40_kegg_H_F_K_Na'],4-Heptenal diethyl acetal
356,201.0918,0.0002827,-H(-),C13H14O2,HMDB0030816,['hmdb40_kegg_H_F_K_Na'],"6-Acetyl-2,2-dimethyl-2H-1-benzopyran"
357,201.1132,3.89E-05,-H(-),C10H18O4,HMDB0000792,['hmdb40_kegg_H_F_K_Na'],Sebacic acid
358,201.1251,-0.0006777,-H(-),C9H18N2O3,HMDB0028690,['hmdb40_kegg_H_F_K_Na'],Alanyl-Isoleucine
359,201.1496,-3.07E-05,-H(-),C11H22O3,HMDB0032443,['hmdb40_kegg_H_F_K_Na'],3-Hydroxynonyl acetate
360,202.0721,2.05E-05,-H(-),C8H13NO5,HMDB0062715,['hmdb40_kegg_H_F_K_Na'],N2-Acetyl-L-aminoadipate
361,203.0019,4.92E-05,-H(-),C7H8O5S,HMDB0060013,['hmdb40_kegg_H_F_K_Na'],NA
362,203.0349,0.0001019,-H(-),C11H8O4,HMDB0302137,['hmdb40_kegg_H_F_K_Na'],"1,4-Dihydroxy-2-naphthoate"
363,203.0744,0.000328,-H(-),C9H16O3S,NA,['hmdb40_kegg_H_F_K_Na'],2-Oxo-8-methylthiooctanoic acid
364,203.0829,-0.0002633,-H(-),C11H12N2O2,HMDB0000929,['hmdb40_kegg_H_F_K_Na'],L-Tryptophan
365,203.1038,-7.01E-05,-H(-),C8H16N2O4,HMDB0029052,['hmdb40_kegg_H_F_K_Na'],Serylvaline
366,204.0662,0.0004263,-H(-),C11H11NO3,HMDB0000671,['hmdb40_kegg_H_F_K_Na'],Indolelactic acid
367,204.9815,-0.0002322,-H(-),C6H6O6S,HMDB0059752,['hmdb40_kegg_H_F_K_Na'],5-Hydroxymethyl-2-furancarboxaldehyde
368,205.0714,0.0003941,-H(-),C8H14O6,HMDB0033584,['hmdb40_kegg_H_F_K_Na'],Diethyl tartrate
369,205.0871,-0.0001137,-H(-),C12H14O3,HMDB0030762,['hmdb40_kegg_H_F_K_Na'],Ethyl trans-p-methoxycinnamate
370,205.1241,-0.0006893,-H(-),C13H18O2,HMDB0001872,['hmdb40_kegg_H_F_K_Na'],Ibuprofen
371,205.1601,-0.0003089,-H(-),C14H22O,HMDB0013825,['hmdb40_kegg_H_F_K_Na'],"4-(1,1,3,3-Tetramethylbutyl)-phenol"
372,206.0481,0.0011066,-H(-),C7H13NO4S,HMDB0030411,['hmdb40_kegg_H_F_K_Na'],"(2R,2'S)-Isobuteine"
373,206.0825,-0.0002297,-H(-),C11H13NO3,HMDB0000512,['hmdb40_kegg_H_F_K_Na'],N-Acetyl-L-phenylalanine
374,206.9968,0.0009492,-H(-),C7H12OS3,HMDB0032653,['hmdb40_kegg_H_F_K_Na'],(Z)-[3-(Methylsulfinyl)-1-propenyl] 2-propenyl disulfide
375,207.0125,-0.000346,-H(-),C10H8O3S,HMDB0255446,['hmdb40_kegg_H_F_K_Na'],1-Naphthalenesulfonic acid
376,207.0301,-0.0001945,-H(-),C10H8O5,HMDB0129376,['hmdb40_kegg_H_F_K_Na'],NA
377,207.0484,0.0001274,-H(-),C11H12O2S,HMDB0034759,['hmdb40_kegg_H_F_K_Na'],Methyl 5-(1-Propynyl)-2-thiophenepropanoate
378,207.0665,-0.0001811,-H(-),C11H12O4,HMDB0012127,['hmdb40_kegg_H_F_K_Na'],(R)-2-Benzylsuccinate
379,207.078,-0.0004547,-H(-),C10H12N2O3,HMDB0000183,['hmdb40_kegg_H_F_K_Na'],L-Kynurenine
380,207.088,-0.0006069,-H(-),C8H16O6,HMDB0029968,['hmdb40_kegg_H_F_K_Na'],Ethyl beta-D-glucopyranoside
381,207.1022,0.0004173,-H(-),C12H16O3,HMDB0029867,['hmdb40_kegg_H_F_K_Na'],Isoelemicin
382,207.1389,0.0001567,-H(-),C13H20O2,HMDB0029668,['hmdb40_kegg_H_F_K_Na'],Eremopetasinorol
383,208.0889,-0.0008835,-H(-),C13H11N3,HMDB0015255,['hmdb40_kegg_H_F_K_Na'],Proflavine
384,209.0304,-0.0001517,-H(-),C6H10O8,HMDB0000639,['hmdb40_kegg_H_F_K_Na'],Galactaric acid
385,209.0674,-0.0006963,-H(-),C7H14O7,HMDB0003219,['hmdb40_kegg_H_F_K_Na'],Sedoheptulose
386,209.1184,-0.0001077,-H(-),C12H18O3,HMDB0032797,['hmdb40_kegg_H_F_K_Na'],Jasmonic acid
387,209.1545,0.0001727,-H(-),C13H22O2,HMDB0030425,['hmdb40_kegg_H_F_K_Na'],Linalyl propionate
388,210.068,-0.0007249,-H(-),C12H9N3O,HMDB0014380,['hmdb40_kegg_H_F_K_Na'],Milrinone
389,210.9536,-0.0006553,-H(-),C8H4O3S2,NA,['hmdb40_kegg_H_F_K_Na'],NA
390,211.0015,-0.0001528,-H(-),C5H9O7P,NA,['hmdb40_kegg_H_F_K_Na'],2-Phosphinomethylmalate
391,211.0244,0.0004131,-H(-),C9H8O6,HMDB0125210,['hmdb40_kegg_H_F_K_Na'],NA
392,211.0967,0.0008909,-H(-),C11H16O4,HMDB0059744,['hmdb40_kegg_H_F_K_Na'],7-Deoxyloganetin
393,211.1335,0.0004233,-H(-),C12H20O3,HMDB0029388,['hmdb40_kegg_H_F_K_Na'],Cucurbic acid
394,211.1704,-8.30E-06,-H(-),C13H24O2,HMDB0031017,['hmdb40_kegg_H_F_K_Na'],10-Undecenyl acetate
395,212.0022,0.0001456,-H(-),C8H7NO4S,HMDB0000682,['hmdb40_kegg_H_F_K_Na'],Indoxyl sulfate
396,212.0336,-0.0006844,-H(-),C5H12NO6P,HMDB0032357,['hmdb40_kegg_H_F_K_Na'],N-Lactoyl ethanolamine phosphate
397,212.0919,0.0009639,-H(-),C10H15NO4,HMDB0125517,['hmdb40_kegg_H_F_K_Na'],N-(3-oxo-hexanoyl)-homoserine lactone
398,212.1293,-0.0001247,-H(-),C11H19NO3,HMDB0094807,['hmdb40_kegg_H_F_K_Na'],N-heptanoyl-homoserine lactone
399,213.0414,-0.0009769,-H(-),C9H10O6,HMDB0128186,['hmdb40_kegg_H_F_K_Na'],"2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate"
400,213.1134,-0.0001961,-H(-),C11H18O4,HMDB0030984,['hmdb40_kegg_H_F_K_Na'],5-Hexyltetrahydro-2-oxo-3-furancarboxylic acid
401,213.1495,0.0001113,-H(-),C12H22O3,HMDB0010727,['hmdb40_kegg_H_F_K_Na'],3-Oxododecanoic acid
402,213.186,2.07E-05,-H(-),C13H26O2,HMDB0000910,['hmdb40_kegg_H_F_K_Na'],Tridecanoic acid
403,214.145,-0.0001667,-H(-),C11H21NO3,HMDB0013279,['hmdb40_kegg_H_F_K_Na'],N-Nonanoylglycine
404,215.0329,-0.0003008,-H(-),C5H13O7P,HMDB0304061,['hmdb40_kegg_H_F_K_Na'],2-C-Methyl-D-erythritol 4-phosphate
405,215.0553,0.0007971,-H(-),C9H12O6,HMDB0341280,['hmdb40_kegg_H_F_K_Na'],cis-(Homo)3-aconitate
406,215.1291,-0.0002361,-H(-),C11H20O4,HMDB0000888,['hmdb40_kegg_H_F_K_Na'],Undecanedioic acid
407,215.1653,-2.97E-05,-H(-),C12H24O3,HMDB0000387,['hmdb40_kegg_H_F_K_Na'],3-Hydroxydodecanoic acid
408,217.0504,0.0002679,-H(-),C12H10O4,HMDB0029518,['hmdb40_kegg_H_F_K_Na'],Liqcoumarin
409,217.0712,0.0005561,-H(-),C9H14O6,HMDB0029592,['hmdb40_kegg_H_F_K_Na'],Triacetin
410,217.1082,-9.95E-05,-H(-),C10H18O5,HMDB0000350,['hmdb40_kegg_H_F_K_Na'],3-Hydroxysebacic acid
411,217.1236,-0.0001803,-H(-),C14H18O2,HMDB0030759,['hmdb40_kegg_H_F_K_Na'],(R)-Pterosin B
412,217.1599,-8.99E-05,-H(-),C15H22O,HMDB0013687,['hmdb40_kegg_H_F_K_Na'],Nookatone
413,217.1805,0.0004003,-H(-),C12H26O3,HMDB0040219,['hmdb40_kegg_H_F_K_Na'],"8,8-Diethoxy-2,6-dimethyl-2-octanol"
